GeneID	GeneName	brain	colon	heart	kidney	liver	lung	skeletal_muscletissue	spleen	testis
ENSGALG00000000003	PANX2	20.0	6.0				1.0			6.0
ENSGALG00000000004	ENSGALG00000000004	21.0	35.0	15.0	11.0	5.0	31.0	12.0	46.0	52.0
ENSGALG00000000011	C10orf88	30.0	31.0	18.0	11.0	5.0	22.0	14.0	31.0	64.0
ENSGALG00000000038	CTRB2			2.0						
ENSGALG00000000048	ENSGALG00000000048	3.0	50.0	2.0	67.0		3.0		5.0	2.0
ENSGALG00000000055	LAMTOR3	51.0	72.0	51.0	58.0	34.0	76.0	31.0	90.0	41.0
ENSGALG00000000059	TUBB3	470.0	4.0	2.0	5.0	3.0	9.0	4.0	5.0	1.0
ENSGALG00000000067	SPR	19.0	33.0	4.0	167.0	238.0	9.0	2.0	16.0	6.0
ENSGALG00000000071	ENSGALG00000000071	3.0	12.0		8.0	3.0	8.0		16.0	20.0
ENSGALG00000000081	IL4I1		2.0			2.0	4.0		4.0	3.0
ENSGALG00000000086	TIMM17A	163.0	68.0	102.0	64.0	38.0	56.0	101.0	67.0	170.0
ENSGALG00000000091	INTS4	10.0	39.0	6.0	38.0	18.0	37.0	5.0	48.0	34.0
ENSGALG00000000094	ADIPOR1	66.0	47.0	36.0	31.0	20.0	66.0	46.0	55.0	142.0
ENSGALG00000000102	UBE2T	19.0	11.0	1.0	5.0		6.0		9.0	64.0
ENSGALG00000000104	CRY4	3.0	10.0	2.0	6.0	5.0	6.0		5.0	3.0
ENSGALG00000000106	LRIF1	17.0	28.0	4.0	12.0	9.0	26.0	3.0	37.0	161.0
ENSGALG00000000107	TRIM7		3.0	3.0	1.0		9.0	109.0	3.0	
ENSGALG00000000109	AFMID	12.0	53.0	19.0	35.0	187.0	22.0	9.0	47.0	20.0
ENSGALG00000000112	PLP1	1193.0	2.0							107.0
ENSGALG00000000115	HEP21						3.0		1.0	
ENSGALG00000000120	BMP10					4.0				
ENSGALG00000000122	GNB2L1	275.0	894.0	381.0	635.0	482.0	766.0	531.0	1399.0	445.0
ENSGALG00000000123	ENSGALG00000000123							28.0		
ENSGALG00000000129	TCF25	24.0	28.0	16.0	22.0	27.0	27.0	16.0	29.0	22.0
ENSGALG00000000136	BLEC2		2.0				4.0		15.0	
ENSGALG00000000137	SNRPE	29.0	56.0	27.0	35.0	16.0	54.0	31.0	57.0	37.0
ENSGALG00000000141	BLB1	4.0	117.0	21.0	25.0	17.0	175.0	15.0	424.0	2.0
ENSGALG00000000142	CEPT1	33.0	100.0	17.0	82.0	114.0	39.0	12.0	115.0	22.0
ENSGALG00000000146	SUPT6H	27.0	61.0	11.0	45.0	28.0	102.0	14.0	137.0	75.0
ENSGALG00000000150	RPL9	106.0	346.0	128.0	178.0	173.0	289.0	173.0	474.0	140.0
ENSGALG00000000151	ADAMTS19		16.0				5.0			1.0
